Data da NF;Detalhes do Documento;Categoria;Subcategoria;Valor(R$)
2022-12-26;000396;Aquisição de bens;Aquisição de bens;13.982,10
2022-12-28;000421;Aquisição de bens;Aquisição de bens;1.469,70
2023-02-07;000462;Aquisição de bens;Aquisição de bens;954,08
2023-02-07;000461;Aquisição de bens;Aquisição de bens;4.830,16
2023-02-23;000482;Aquisição de bens;Aquisição de bens;3.701,40
2023-02-23;000480;Aquisição de bens;Aquisição de bens;4.289,60
2023-02-27;6966;Aquisição de bens;Aquisição de bens;750,00
